knowledge_id,row_type,crop,canonical_label,condition_group,scope_label,applies_to,plant_part,symptom_pattern,knowledge_type,knowledge_text,confusable_with,differential_reasoning,recommended_action,avoid_action,confidence_rule,triage_rule,source_name,source_url,evidence_excerpt,reliability_level
K_HEALTHY_001,knowledge,bí đỏ,khỏe,healthy,single_label,khỏe,lá,chưa thấy triệu chứng bệnh rõ,healthy_baseline,"Khi ảnh lá bí đỏ không có mảng bột trắng, đốm nâu lan rộng, vết vàng góc cạnh, loang khảm hoặc biến dạng rõ, nên mô tả là chưa thấy dấu hiệu bệnh rõ thay vì kết luận cây chắc chắn khỏe tuyệt đối.",thiếu dinh dưỡng nhẹ; ánh sáng chụp; lá già tự nhiên; bụi bẩn,"Ảnh khỏe có thể bị nhầm với bệnh nhẹ nếu màu lá thay đổi do ánh sáng, tuổi lá hoặc dinh dưỡng; cần theo dõi thêm nếu dấu hiệu lan nhanh.","Theo dõi định kỳ, giữ tán thông thoáng, tưới gốc hợp lý và chụp lại nếu xuất hiện vết bệnh mới.",Không phun thuốc khi chưa có triệu chứng rõ; không kết luận bệnh chỉ từ một lá hơi khác màu.,Nếu ảnh rõ và không có triệu chứng bệnh đặc trưng thì confidence có thể cao; nếu ảnh mờ hoặc lá bị che khuất thì giảm xuống trung bình/thấp.,monitor_only nếu chưa thấy triệu chứng bệnh rõ; insufficient_evidence nếu ảnh mờ hoặc thiếu vùng lá cần quan sát.,Internal visual QA rule + general IPM safety principle,N/A,Không khẳng định bệnh khi thiếu triệu chứng rõ; theo dõi và chụp bổ sung nếu có dấu hiệu lan.,medium-high
K_POWDERY_001,knowledge,bí đỏ,bệnh phấn trắng,fungal_disease,single_label,bệnh phấn trắng,lá; thân; cuống lá,đốm/mảng trắng dạng bột trên lá,symptom,"Bệnh phấn trắng trên cây họ bầu bí thường bắt đầu bằng đốm vàng nhạt, sau đó xuất hiện lớp nấm trắng dạng bột trên lá, thân hoặc cuống lá; khi nặng, lá có thể vàng, héo, nâu và khô.",bệnh sương mai; bụi bẩn; vệt thuốc; ánh sáng phản chiếu,Phấn trắng có lớp trắng dạng bột rõ trên bề mặt lá; sương mai thường có vết vàng/góc cạnh và lớp mốc ở mặt dưới trong điều kiện ẩm.,"Kiểm tra cả mặt trên và mặt dưới lá, tăng thông thoáng, loại bỏ lá bệnh nặng và theo dõi tốc độ lan.",Không kết luận chắc nếu vệt trắng có thể là bụi/vệt thuốc; không tự đưa hoạt chất hoặc liều lượng khi không có nguồn phù hợp.,Confidence cao khi thấy lớp trắng dạng bột rõ; trung bình nếu chỉ thấy vết sáng/trắng nhẹ hoặc ảnh mờ.,early_action với mức nhẹ/trung bình; urgent_action khi nhiều lá bị phủ trắng và suy yếu; insufficient_evidence nếu ảnh không rõ lớp bột.,UC IPM Powdery Mildew / Cucurbits; UMN Extension Powdery mildew of cucurbits,https://ipm.ucanr.edu/agriculture/cucurbits/powdery-mildew/; https://extension.umn.edu/disease-management/powdery-mildew-cucurbits,UC IPM mô tả đốm vàng nhạt lớn dần khi nấm trắng phát triển trên bề mặt; UMN mô tả đốm trắng dạng bột có thể ở cả mặt trên và dưới lá.,high
K_POWDERY_002,rule,bí đỏ,bệnh phấn trắng,general_rule,rule_general,bệnh phấn trắng,lá,phân biệt phấn trắng với sương mai,differential,"Khi câu hỏi yêu cầu phân biệt phấn trắng và sương mai, ưu tiên kiểm tra vị trí và dạng tổn thương: phấn trắng là lớp bột trắng trên bề mặt lá; sương mai thường là vết vàng/góc cạnh trên mặt trên và mốc xám/tím ở mặt dưới khi ẩm.",bệnh sương mai,"Nếu ảnh chỉ thấy mặt trên lá và không rõ mặt dưới, câu trả lời phải thận trọng và hỏi thêm ảnh mặt dưới.",Yêu cầu chụp mặt dưới lá nếu cần loại trừ sương mai; theo dõi điều kiện ẩm và tốc độ lan.,Không khẳng định phấn trắng chỉ từ vệt sáng mơ hồ.,"Có bệnh dễ nhầm thì confidence không nên cao tuyệt đối, trừ khi lớp bột trắng rất rõ.",early_action nếu dấu hiệu rõ; insufficient_evidence nếu ảnh thiếu mặt dưới lá và triệu chứng mơ hồ.,Cornell Pumpkin & Gourd Leaf Symptoms; UC IPM Downy Mildew on Cucurbits,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/cucurbit-key/pumpkin-gourd-disease-key/pumpkin-gourd-leaf-symptoms/; https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/cudowneymildew.html,"Cornell mô tả phấn trắng là vết bột trắng, còn sương mai là vết góc cạnh với bào tử xám/tím mặt dưới.",high
K_DOWNY_001,knowledge,bí đỏ,bệnh sương mai,oomycete_disease,single_label,bệnh sương mai,lá,vết vàng/xanh nhạt góc cạnh và mốc mặt dưới khi ẩm,symptom,"Bệnh sương mai trên cây họ bầu bí thường tạo vết vàng đến xanh nhạt ở mặt trên lá, sau đó chuyển nâu; vết thường có dạng góc cạnh và bị giới hạn bởi gân lá. Trong ẩm độ cao, mặt dưới lá có thể có lớp mốc xám hoặc tím.",bệnh phấn trắng; thiếu dinh dưỡng; cháy nắng; đốm lá vi khuẩn; khảm virus,Vết góc cạnh theo gân lá và mốc mặt dưới ủng hộ sương mai; lớp bột trắng phủ rõ ủng hộ phấn trắng.,"Kiểm tra mặt dưới lá, giảm ẩm tán, tránh tưới phun lên lá, tỉa lá bệnh nặng và theo dõi sau mưa/ẩm.",Không kết luận sương mai nếu chỉ có vàng lá nhẹ và không kiểm tra mặt dưới; không tưới lá vào chiều tối khi vườn ẩm.,Confidence cao khi vết vàng/góc cạnh rõ và có dấu mốc mặt dưới; trung bình nếu chỉ thấy vàng loang mặt trên.,early_action khi bệnh nhẹ/trung bình; urgent_action khi vết lan nhiều lá trong điều kiện ẩm; insufficient_evidence nếu thiếu ảnh mặt dưới.,"UMN Extension Downy mildew of cucumber, melon and squash; UC IPM Downy Mildew / Cucurbits",https://extension.umn.edu/disease-management/downy-mildew-cucurbits; https://ipm.ucanr.edu/agriculture/cucurbits/downy-mildew/,UMN mô tả đốm vàng/xanh nhạt mặt trên và lớp mốc xám ở mặt dưới; bệnh phát triển nhanh trong điều kiện ướt/ẩm.,high
K_DOWNY_002,rule,bí đỏ,bệnh sương mai,uncertainty_rule,rule_general,bệnh sương mai,lá,sương mai cần kiểm tra mặt dưới lá,uncertainty_rule,"Với nghi sương mai, ảnh mặt trên lá thường chưa đủ chắc; cần khuyến nghị kiểm tra hoặc chụp thêm mặt dưới lá, nhất là khi câu hỏi nhắc thời tiết ẩm, sau mưa hoặc bệnh lan nhanh.",phấn trắng; thiếu dinh dưỡng; cháy nắng; khảm virus,Thiếu ảnh mặt dưới làm giảm độ chắc chắn vì dấu mốc xám/tím mặt dưới là một dấu hiệu phân biệt quan trọng.,Hỏi thêm ảnh mặt dưới lá và tình trạng mưa/ẩm gần đây; giảm ẩm tán và theo dõi lan trong 24-48 giờ.,Không trả lời chắc 100% chỉ dựa vào vùng vàng mặt trên.,Thiếu ảnh mặt dưới: confidence tối đa là trung bình nếu dấu hiệu chưa rõ.,insufficient_evidence nếu ảnh mờ/thiếu mặt dưới; early_action nếu ảnh rõ và triệu chứng phù hợp.,UC IPM Downy Mildew on Cucurbits; Cornell Pumpkin & Gourd Leaf Symptoms,https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/cudowneymildew.html; https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/cucurbit-key/pumpkin-gourd-disease-key/pumpkin-gourd-leaf-symptoms/,UC IPM phân biệt sương mai với phấn trắng dựa vào bào tử chủ yếu ở mặt dưới và vết góc cạnh trên lá.,high
K_BACTERIAL_002,rule,bí đỏ,bệnh đốm lá vi khuẩn,general_rule,rule_general,bệnh đốm lá vi khuẩn,lá,phân biệt đốm vi khuẩn với đốm nấm/sương mai,differential,"Khi thấy đốm nhỏ vàng nâu trên lá bí đỏ, cần phân biệt đốm vi khuẩn với sương mai và đốm nấm. Đốm vi khuẩn thường nhỏ, có thể viền vàng, lan qua nước bắn và thao tác khi lá ướt; sương mai thường có mảng vàng/góc cạnh và mốc mặt dưới khi ẩm.",sương mai; đốm lá nấm; thán thư,"Cần nhìn kích thước, viền đốm, hình dạng có bị gân lá giới hạn không và có mốc mặt dưới hay không.","Chụp cận cảnh đốm, kiểm tra mặt dưới lá, tránh tưới phun và không làm việc khi lá ướt.",Không chỉ dựa vào màu đốm để chọn thuốc; không nêu liều lượng nếu không có nguồn.,Ảnh xa hoặc đốm nhỏ không rõ: confidence trung bình/thấp.,early_action nếu có nhiều đốm đang lan; monitor_only nếu đốm rất ít và chưa rõ.,UMN Extension Angular leaf spot; Cornell Pumpkin & Gourd Leaf Symptoms,https://extension.umn.edu/disease-management/angular-leaf-spot; https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/cucurbit-key/pumpkin-gourd-disease-key/pumpkin-gourd-leaf-symptoms/,"Nguồn extension nhấn mạnh triệu chứng góc cạnh/viền vàng và yếu tố lá ướt, nước bắn.",high
K_VIRUS_SAFETY_001,rule,bí đỏ,bệnh khảm lá/virus,safety_rule,rule_general,bệnh khảm lá/virus,toàn cây,quản lý virus an toàn,safety,"Với bệnh virus, chatbot không nên khuyến nghị thuốc trừ nấm như cách điều trị chính. Hướng an toàn là giảm nguồn lây, quản lý côn trùng môi giới, vệ sinh vườn và loại bỏ cây bệnh nặng nếu cần.",bệnh nấm; thiếu dinh dưỡng,Virus không giống bệnh nấm nên không nên dùng logic 'phun thuốc nấm' để xử lý.,"Quản lý vector, theo dõi lan, vệ sinh cỏ dại và cây bệnh nặng; hỏi cán bộ kỹ thuật nếu nghi lan rộng.",Không viết 'xịt thuốc trị virus' hoặc nêu liều không có nguồn.,"Nếu câu hỏi yêu cầu thuốc/liều, câu trả lời phải chuyển sang nguyên tắc an toàn và khuyến cáo địa phương.",ask_expert nếu cần quyết định nhổ cây diện rộng hoặc xác định loại virus.,UC IPM Cucumber Mosaic / Cucurbits; general extension virus management,https://ipm.ucanr.edu/agriculture/cucurbits/cucumber-mosaic/,UC IPM mô tả virus truyền qua rệp và hướng quản lý tập trung giảm/đẩy lùi nguồn truyền bệnh hơn là thuốc trị trực tiếp.,high
K_SAFETY_001,rule,bí đỏ,tất cả,safety_rule,all,khỏe;bệnh phấn trắng;bệnh sương mai;bệnh khảm lá/virus;bệnh đốm lá vi khuẩn,toàn cây,không bịa thuốc/liều và không kết luận quá mức,safety,"Trong chatbot nông nghiệp, không nêu tên thuốc, hoạt chất, liều lượng, thời gian cách ly hoặc công thức pha nếu tri thức truy hồi không chứa nguồn rõ. Khi ảnh chưa đủ rõ, câu trả lời phải giảm độ chắc chắn và hỏi thêm thông tin.",N/A,Quy tắc an toàn nhằm giảm hallucination và khuyến nghị sai thực tế địa phương.,"Nêu nguyên tắc xử lý ban đầu: quan sát, chụp thêm, vệ sinh lá bệnh, giảm ẩm, giữ thông thoáng, hỏi cán bộ kỹ thuật nếu cần.",Không bịa thuốc/liều; không khẳng định tuyệt đối khi thiếu ảnh hoặc bằng chứng.,Ảnh mờ/thiếu góc chụp: confidence không được high.,insufficient_evidence khi thiếu bằng chứng; ask_expert khi liên quan thuốc/liều hoặc triệu chứng ngoài dữ liệu.,Project safety rule grounded in extension/IPM practice,N/A,Chỉ dùng thuốc theo nhãn/khuyến cáo địa phương và không suy diễn ngoài nguồn.,high
K_WEATHER_001,knowledge,bí đỏ,bệnh sương mai; đốm lá vi khuẩn,oomycete_disease,multi_label,bệnh sương mai; đốm lá vi khuẩn,lá,ẩm/mưa làm tăng rủi ro một số bệnh,weather_risk,"Điều kiện ướt hoặc ẩm cao có thể làm sương mai phát triển nhanh và cũng thuận lợi cho một số bệnh đốm lá vi khuẩn lây qua nước bắn. Tuy nhiên, không được gán thời tiết cụ thể cho ảnh nếu câu hỏi hoặc dữ liệu không nhắc đến.",không rõ thời tiết thực tế,"Thời tiết là ngữ cảnh hỗ trợ, không thay thế bằng chứng ảnh.","Nếu người dùng nhắc sau mưa/ẩm, nên khuyên kiểm tra mặt dưới lá, giảm ẩm tán, tưới gốc và theo dõi lan.",Không tự bịa 'trời ẩm' hoặc 'sau mưa' khi dữ liệu không có.,"Có thời tiết ẩm chỉ tăng rủi ro, không tự động xác nhận bệnh.",weather_risk làm tăng mức ưu tiên theo dõi/xử lý sớm nếu triệu chứng ảnh phù hợp.,UMN Downy mildew cucurbits; UMN Angular leaf spot,https://extension.umn.edu/disease-management/downy-mildew-cucurbits; https://extension.umn.edu/disease-management/angular-leaf-spot,UMN mô tả sương mai phát triển nhanh trong điều kiện ướt/ẩm; angular leaf spot phát triển trong điều kiện ấm ẩm và lây qua nước bắn/thao tác.,high
K_ACTION_FIRST_24H_001,rule,bí đỏ,nhiều bệnh lá,general_rule,multi_label,bệnh phấn trắng;bệnh sương mai;bệnh đốm lá vi khuẩn;bệnh khảm lá/virus,lá; ruộng,hành động 24-48 giờ đầu,initial_action,"Trong 24-48 giờ đầu, nên ghi nhận ảnh, kiểm tra mặt trên/mặt dưới lá, đánh dấu cây/lá bị bệnh, theo dõi lan rộng, giữ tán thoáng và tránh làm lá ướt lâu.",mọi bệnh lá,Hành động ban đầu an toàn áp dụng khi chưa đủ chắc để chọn biện pháp đặc hiệu.,"Chụp lại cùng góc sau 1-2 ngày, kiểm tra cây lân cận, dọn lá/tàn dư bệnh nặng nếu cần.",Không phun bừa hoặc cắt bỏ quá nhiều khi chưa rõ mức độ.,Nếu thiếu bằng chứng thì câu trả lời nên ở mức xử lý ban đầu và hỏi thêm.,monitor_only/early_action/insufficient_evidence tùy triệu chứng.,General IPM safety rule; Khuyến nông Việt Nam,https://khuyennongvn.gov.vn/chuong-trinh-nganh-nong-nghiep/tai-co-cau-nganh-nong-nghiep/thai-binh-bi-do-cay-trong-mang-lai-gia-tri-kinh-te-cao-29254.html,"Theo dõi đồng ruộng, vệ sinh tàn dư bệnh, tránh trồng dày và xử lý khi phát hiện cây/trái bệnh.",medium-high
