sample_id,image_id,image_path_masked,image_real_path,crop,canonical_label,condition_group,dataset_split,question_type,question,visible_symptoms,lesion_location,symptom_pattern,severity_level,image_quality,confidence_level,triage_level,label_mentioned_in_question,input_no_label,input_with_label,target_answer,linked_knowledge_ids
TOMATOQA000001,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,identification,Lá cà chua có vết đốm nhỏ như vậy là bệnh gì?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có vết đốm nhỏ như vậy là bệnh gì?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có vết đốm nhỏ như vậy là bệnh gì?,"Các dấu hiệu hiện tại nghiêng về bệnh đốm vi khuẩn, nổi bật là có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Theo dõi lại sau 24–48 giờ nếu vết lan rộng.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000002,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,visual_evidence,Lá cà chua có mô nâu khô cháy như vậy dấu hiệu nào quan trọng nhất?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có mô nâu khô cháy như vậy dấu hiệu nào quan trọng nhất?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có mô nâu khô cháy như vậy dấu hiệu nào quan trọng nhất?,"Bằng chứng chính là có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể, hỗ trợ hướng bệnh đốm vi khuẩn. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002;K_TOMATO_IMAGE_LOW_EVIDENCE_001
TOMATOQA000003,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,general_consultation,Nhìn lá có mô nâu khô cháy nên hiểu thế nào?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Nhìn lá có mô nâu khô cháy nên hiểu thế nào?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Nhìn lá có mô nâu khô cháy nên hiểu thế nào?,"Ảnh cho thấy có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể, vì vậy bệnh đốm vi khuẩn là hướng cần ưu tiên kiểm tra. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000004,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,initial_action,Lá cà chua có chấm khô sẫm có cần xử lý sớm không?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có chấm khô sẫm có cần xử lý sớm không?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có chấm khô sẫm có cần xử lý sớm không?,"Trong 24–48 giờ đầu, xử lý theo hướng bệnh đốm vi khuẩn vì ảnh có có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Cần tránh không kết luận là nấm chỉ dựa vào đốm nâu. Theo dõi lại sau 24–48 giờ nếu vết lan rộng.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_SAFETY_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002;K_TOMATO_SAFETY_NO_OVERCLAIM_001
TOMATOQA000005,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,differential_diagnosis,Lá có mô nâu khô cháy khác bệnh dễ nhầm ở đâu?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá có mô nâu khô cháy khác bệnh dễ nhầm ở đâu?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá có mô nâu khô cháy khác bệnh dễ nhầm ở đâu?,"Dựa trên có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể, cần ưu tiên kiểm tra bệnh đốm vi khuẩn và phân biệt với đốm lá Septoria. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Cần tránh không kết luận là nấm chỉ dựa vào đốm nâu.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000006,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,initial_action,Lá cà chua có đốm sẫm rải rác như vậy xử lý thế nào cho an toàn?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có đốm sẫm rải rác như vậy xử lý thế nào cho an toàn?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có đốm sẫm rải rác như vậy xử lý thế nào cho an toàn?,"Không nên xử lý nóng vội; dấu hiệu hiện có là có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể, phù hợp hướng nghi ngờ bệnh đốm vi khuẩn. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Cần tránh không kết luận là nấm chỉ dựa vào đốm nâu. Theo dõi lại sau 24–48 giờ nếu vết lan rộng.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_SAFETY_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002;K_TOMATO_SAFETY_NO_OVERCLAIM_001
TOMATOQA000007,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,initial_action,Lá cà chua có đốm nâu không có vòng đồng tâm rõ như vậy muốn giảm tái phát thì làm gì?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có đốm nâu không có vòng đồng tâm rõ như vậy muốn giảm tái phát thì làm gì?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Lá cà chua có đốm nâu không có vòng đồng tâm rõ như vậy muốn giảm tái phát thì làm gì?,"Trong 24–48 giờ đầu, xử lý theo hướng bệnh đốm vi khuẩn vì ảnh có có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Cần tránh không kết luận là nấm chỉ dựa vào đốm nâu.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_SAFETY_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000008,TOMATO_IMG_00001,tomato_images/TOMATO_IMG_00001.jpg,tomato_images/TOMATO_IMG_00001.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,general_consultation,Nhìn lá có mô nâu khô cháy cần lưu ý gì?,có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể,lá,đốm có vòng đồng tâm,trung bình,đạt yêu cầu,cao,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Nhìn lá có mô nâu khô cháy cần lưu ý gì?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể. Mức độ quan sát: trung bình. Câu hỏi người dùng: Nhìn lá có mô nâu khô cháy cần lưu ý gì?,"Ảnh cho thấy có đốm không có vòng đồng tâm rõ; mô nâu sẫm/khô cháy chiếm tỷ lệ đáng kể, vì vậy bệnh đốm vi khuẩn là hướng cần ưu tiên kiểm tra. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy cao, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000009,TOMATO_IMG_00002,tomato_images/TOMATO_IMG_00002.jpg,tomato_images/TOMATO_IMG_00002.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,general_consultation,Lá cà chua có đốm nhỏ nâu đen như vậy nên nghĩ tới bệnh nào?,có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen,lá,đốm có vòng đồng tâm,nhẹ,đạt yêu cầu,trung bình,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen. Mức độ quan sát: nhẹ. Câu hỏi người dùng: Lá cà chua có đốm nhỏ nâu đen như vậy nên nghĩ tới bệnh nào?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen. Mức độ quan sát: nhẹ. Câu hỏi người dùng: Lá cà chua có đốm nhỏ nâu đen như vậy nên nghĩ tới bệnh nào?,"Các dấu hiệu hiện tại nghiêng về bệnh đốm vi khuẩn, nổi bật là có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy trung bình, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002
TOMATOQA000010,TOMATO_IMG_00002,tomato_images/TOMATO_IMG_00002.jpg,tomato_images/TOMATO_IMG_00002.jpg,cà chua,bệnh đốm vi khuẩn,bacterial_disease,train,visual_evidence,Thấy đốm sẫm rải rác trên lá cà chua dấu hiệu nào quan trọng nhất?,có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen,lá,đốm có vòng đồng tâm,nhẹ,đạt yêu cầu,trung bình,early_action,no,Cây trồng: cà chua. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen. Mức độ quan sát: nhẹ. Câu hỏi người dùng: Thấy đốm sẫm rải rác trên lá cà chua dấu hiệu nào quan trọng nhất?,Cây trồng: cà chua. Nhãn nghi ngờ: bệnh đốm vi khuẩn. Triệu chứng quan sát: có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen. Mức độ quan sát: nhẹ. Câu hỏi người dùng: Thấy đốm sẫm rải rác trên lá cà chua dấu hiệu nào quan trọng nhất?,"Bằng chứng chính là có đốm không có vòng đồng tâm rõ; đốm nhỏ màu nâu đen, hỗ trợ hướng bệnh đốm vi khuẩn. Điểm phân biệt: Nếu vết bệnh nhỏ, sẫm màu và không có vòng đồng tâm rõ thì nghiêng về đốm vi khuẩn hơn cháy sớm. Mức tin cậy trung bình, ưu tiên xử lý sớm. Nên ưu tiên giữ lá khô, tưới gốc, tỉa bỏ lá bệnh vừa phải, vệ sinh tàn dư và theo dõi vết mới sau mưa hoặc tưới. Theo dõi lại sau 24–48 giờ nếu vết lan rộng.",K_TOMATO_BACTERIAL_SPOT_SYMPTOM_001;K_TOMATO_BACTERIAL_SPOT_DIFF_001;K_TOMATO_BACTERIAL_SPOT_ACTION_001;K_TOMATO_BACTERIAL_SPOT_CONFIDENCE_001;K_TOMATO_BACTERIAL_SPOT_TRIAGE_001;K_TOMATO_GENERAL_RAG_SOURCE_001;K_TOMATO_BACTERIAL_SPOT_DIAGNOSTIC_DETAIL_002;K_TOMATO_BACTERIAL_SPOT_CONFUSABLE_EXTRA_002;K_TOMATO_IMAGE_LOW_EVIDENCE_001
